faimsAttributeID,faimsEntityAttributeName,attributeLocation,attributeorder,AttributeDescription
1.69E+11,OldBone_-_Grid_Square,Bone,1,Letter code as marked in south-west corner of square
1.69E+11,OldBone_-_ID_Number,Bone,2,Feature identification code as marked on tag
1.69E+11,OldBone_-_Cluster_Type,Bone,3,
1.69E+11,OldBone_-_Proportion_of_material_that_remains_in_situ,Bone,4,Select the proportion of visible bone that remains insitu
1.69E+11,OldBone_-_Body_Parts_Identifed,Bone,5,"Select those of the following that have been observed, both in situ and on the surface"
1.69E+11,OldBone_-_Taxon_Identified,Bone,6,Select those of the following that can be identified:
1.69E+11,OldBone_-_Bone_Preservation,Bone,7,Select those types of modification that are common on the visible bone:
1.69E+11,OldBone_-_Deliberate_Surface_Modification,Bone,8,Select those types of deliberate modification that occur in any proportion on the visible bone:
1.69E+11,OldBone_-_Topographic_Setting,Bone,9,Where on the lunette exposure is the old bone located?
1.69E+11,OldBone_-_Sediment_Type,Bone,10,"What are the sediments that encase the old bone, or upon which they are immediately lying?"
1.69E+11,OldBone_-_Stratigraphic_Unit,Bone,11,
1.69E+11,OldBone_-_Vulnerability_To_Erosion,Bone,12,"Based on the cluster type and its topographic setting, how vulnerable is the old bone?"
1.69E+11,OldBone_-_Palaeotopographic_Setting,Bone,13,Where is the old bone cluster located in relation to the original dune morphology?
1.69E+11,OldBone_-_Photos,Bone,14,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
1.69E+11,OldBone_-_Notes,Bone,15,Any additional information worth noting that has not been covered by the recording
1.69E+11,OldBone_-_Associated_in_situ_material,Bone Associated Insitu Materials,1,Select those of the following that have been observed in situ
1.69E+11,OldBone_-_Associated_surface_material,Bone Associated Surface Materials,1,Select those of the following that have been observed on the surface
1.69E+11,OldBone_-_Bivalve_preservation,Bone Associated Insitu Materials; Bone Associated Surface Materials,2; 2,
1.69E+11,OldBone_-_Burned_Mussel,Bone Associated Insitu Materials; Bone Associated Surface Materials,3; 3,
1.69E+11,OldBone_-_Associated_Hearth_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,4; 4,Select those of the following that have been observed:
1.69E+11,OldBone_-_Associated_Eggshell,Bone Associated Insitu Materials; Bone Associated Surface Materials,5; 5,Select those of the following that have been observed:
1.69E+11,OldBone_-_Burned_Eggshel,Bone Associated Insitu Materials; Bone Associated Surface Materials,6; 6,
1.69E+11,OldBone_-_Associated_Stone_Artefacts,Bone Associated Insitu Materials; Bone Associated Surface Materials,7; 7,Select those of the following that have been observed
1.69E+11,OldBone_-_Associated_Chipped_Stone_Artefacts,Bone Associated Insitu Materials; Bone Associated Surface Materials,8; 8,Select those of the following that have been observed:
1.69E+11,OldBone_-_Associated_Retouched_Artefacts,Bone Associated Insitu Materials; Bone Associated Surface Materials,9; 9,
1.69E+11,OldBone_-_Associated_Unmodified_Stone,Bone Associated Insitu Materials; Bone Associated Surface Materials,10; 10,Select those of the following that have been observed:
